"Estado","tipo delito","suma delitos","pob por cada 1000"
"Aguascalientes","Aborto",7,0.00491
"Aguascalientes","Abuso de confianza",788,0.55275
"Aguascalientes","Abuso sexual",0,0
"Aguascalientes","Acoso sexual",0,0
"Aguascalientes","Allanamiento de morada",613,0.42999
"Aguascalientes","Amenazas",3778,2.6501
"Aguascalientes","Contra el medio ambiente",98,0.06874
"Aguascalientes","Corrupción de menores",62,0.04349
"Aguascalientes","Daño a la propiedad",5117,3.58935
"Aguascalientes","Delitos cometidos por servidores públicos",513,0.35985
"Aguascalientes","Despojo",387,0.27146
"Aguascalientes","Electorales",81,0.05682
"Aguascalientes","Evasión de presos",0,0
"Aguascalientes","Extorsión",112,0.07856
"Aguascalientes","Falsedad",129,0.09049
"Aguascalientes","Falsificación",213,0.14941
"Aguascalientes","Feminicidio",6,0.00421
"Aguascalientes","Fraude",3119,2.18784
"Aguascalientes","Homicidio",240,0.16835
"Aguascalientes","Hostigamiento sexual",153,0.10732
"Aguascalientes","Incesto",1,7e-04
"Aguascalientes","Incumplimiento de obligaciones de asistencia familiar",314,0.22026
"Aguascalientes","Lesiones",4828,3.38663
"Aguascalientes","Narcomenudeo",2181,1.52987
"Aguascalientes","Otros delitos contra el patrimonio",494,0.34652
"Aguascalientes","Otros delitos contra la familia",103,0.07225
"Aguascalientes","Otros delitos contra la sociedad",0,0
"Aguascalientes","Otros delitos del Fuero Común",4489,3.14883
"Aguascalientes","Otros delitos que atentan contra la libertad personal",388,0.27216
"Aguascalientes","Otros delitos que atentan contra la libertad y la seguridad sexual",578,0.40544
"Aguascalientes","Otros delitos que atentan contra la vida y la integridad corporal",58,0.04068
"Aguascalientes","Rapto",0,0
"Aguascalientes","Robo",10359,7.26638
"Aguascalientes","Secuestro",2,0.0014
"Aguascalientes","Tráfico de menores",1,7e-04
"Aguascalientes","Trata de personas",1,7e-04
"Aguascalientes","Violación equiparada",143,0.10031
"Aguascalientes","Violación simple",274,0.1922
"Aguascalientes","Violencia de género en todas sus modalidades distinta a la violencia familiar",14,0.00982
"Aguascalientes","Violencia familiar",3290,2.30779
"Baja California","Aborto",41,0.01088
"Baja California","Abuso de confianza",649,0.17219
"Baja California","Abuso sexual",1840,0.48819
"Baja California","Acoso sexual",230,0.06102
"Baja California","Allanamiento de morada",2369,0.62855
"Baja California","Amenazas",5283,1.40169
"Baja California","Contra el medio ambiente",11,0.00292
"Baja California","Corrupción de menores",384,0.10188
"Baja California","Daño a la propiedad",8403,2.22949
"Baja California","Delitos cometidos por servidores públicos",703,0.18652
"Baja California","Despojo",1383,0.36694
"Baja California","Electorales",69,0.01831
"Baja California","Evasión de presos",6,0.00159
"Baja California","Extorsión",96,0.02547
"Baja California","Falsedad",220,0.05837
"Baja California","Falsificación",366,0.09711
"Baja California","Feminicidio",32,0.00849
"Baja California","Fraude",3147,0.83497
"Baja California","Homicidio",2542,0.67445
"Baja California","Hostigamiento sexual",1530,0.40594
"Baja California","Incesto",0,0
"Baja California","Incumplimiento de obligaciones de asistencia familiar",1351,0.35845
"Baja California","Lesiones",6810,1.80684
"Baja California","Narcomenudeo",8180,2.17033
"Baja California","Otros delitos contra el patrimonio",1370,0.36349
"Baja California","Otros delitos contra la familia",1130,0.29981
