"Año","Tipo_delito","total","pob","por cada 1000"
2015,"Aborto",24,2858359,0.00839642606124703
2015,"Abuso de confianza",535,2858359,0.187170330948632
2015,"Abuso sexual",158,2858359,0.0552764715698763
2015,"Acoso sexual",118,2858359,0.0412824281344646
2015,"Allanamiento de morada",295,2858359,0.103206070336161
2015,"Amenazas",1928,2858359,0.674512893586845
2015,"Contra el medio ambiente",5,2858359,0.00174925542942646
2015,"Corrupción de menores",19,2858359,0.00664717063182057
2015,"Daño a la propiedad",1782,2858359,0.623434635047592
2015,"Delitos cometidos por servidores públicos",2,2858359,0.000699702171770586
2015,"Despojo",640,2858359,0.223904694966587
2015,"Electorales",0,2858359,0
2015,"Evasión de presos",0,2858359,0
2015,"Extorsión",42,2858359,0.0146937456071823
2015,"Falsedad",75,2858359,0.026238831441397
2015,"Falsificación",98,2858359,0.0342854064167587
2015,"Feminicidio",0,2858359,0
2015,"Fraude",898,2858359,0.314166275124993
2015,"Homicidio",651,2858359,0.227753056911326
2015,"Hostigamiento sexual",6,2858359,0.00209910651531176
2015,"Incesto",1,2858359,0.000349851085885293
2015,"Incumplimiento de obligaciones de asistencia familiar",633,2858359,0.22145573736539
2015,"Lesiones",3693,2858359,1.29200006017439
2015,"Narcomenudeo",111,2858359,0.0388334705332675
2015,"Otros delitos contra el patrimonio",7,2858359,0.00244895760119705
2015,"Otros delitos contra la familia",0,2858359,0
2015,"Otros delitos contra la sociedad",0,2858359,0
2015,"Otros delitos del Fuero Común",2281,2858359,0.798010326904353
2015,"Otros delitos que atentan contra la libertad personal",798,2858359,0.279181166536464
2015,"Otros delitos que atentan contra la libertad y la seguridad sexual",81,2858359,0.0283379379567087
2015,"Otros delitos que atentan contra la vida y la integridad corporal",92,2858359,0.032186299901447
2015,"Rapto",1,2858359,0.000349851085885293
2015,"Robo",9866,2858359,3.4516308133443
2015,"Secuestro",19,2858359,0.00664717063182057
2015,"Tráfico de menores",1,2858359,0.000349851085885293
2015,"Trata de personas",2,2858359,0.000699702171770586
2015,"Violación equiparada",0,2858359,0
2015,"Violación simple",348,2858359,0.121748177888082
2015,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,2858359,0
2015,"Violencia familiar",2294,2858359,0.802558391020862
2016,"Aborto",7,2858359,0.00244895760119705
2016,"Abuso de confianza",656,2858359,0.229502312340752
2016,"Abuso sexual",334,2858359,0.116850262685688
2016,"Acoso sexual",7,2858359,0.00244895760119705
2016,"Allanamiento de morada",257,2858359,0.0899117290725203
2016,"Amenazas",2486,2858359,0.869729799510838
2016,"Contra el medio ambiente",0,2858359,0
2016,"Corrupción de menores",19,2858359,0.00664717063182057
2016,"Daño a la propiedad",2892,2858359,1.01176934038027
2016,"Delitos cometidos por servidores públicos",1,2858359,0.000349851085885293
2016,"Despojo",714,2858359,0.249793675322099
2016,"Electorales",9,2858359,0.00314865977296764
2016,"Evasión de presos",1,2858359,0.000349851085885293
2016,"Extorsión",80,2858359,0.0279880868708234
2016,"Falsedad",117,2858359,0.0409325770485793
2016,"Falsificación",132,2858359,0.0461803433368587
2016,"Feminicidio",22,2858359,0.00769672388947644
2016,"Fraude",1207,2858359,0.422270260663549
2016,"Homicidio",653,2858359,0.228452759083096
2016,"Hostigamiento sexual",52,2858359,0.0181922564660352
2016,"Incesto",24,2858359,0.00839642606124703
2016,"Incumplimiento de obligaciones de asistencia familiar",731,2858359,0.255741143782149
2016,"Lesiones",4337,2858359,1.51730415948452
2016,"Narcomenudeo",187,2858359,0.0654221530605498
2016,"Otros delitos contra el patrimonio",0,2858359,0
2016,"Otros delitos contra la familia",1,2858359,0.000349851085885293
2016,"Otros delitos contra la sociedad",0,2858359,0
2016,"Otros delitos del Fuero Común",2150,2858359,0.75217983465338
2016,"Otros delitos que atentan contra la libertad personal",1379,2858359,0.482444647435819
2016,"Otros delitos que atentan contra la libertad y la seguridad sexual",53,2858359,0.0185421075519205
2016,"Otros delitos que atentan contra la vida y la integridad corporal",292,2858359,0.102156517078506
2016,"Rapto",1,2858359,0.000349851085885293
2016,"Robo",11403,2858359,3.98935193235
2016,"Secuestro",14,2858359,0.0048979152023941
2016,"Tráfico de menores",0,2858359,0
2016,"Trata de personas",8,2858359,0.00279880868708234
2016,"Violación equiparada",5,2858359,0.00174925542942646
2016,"Violación simple",445,2858359,0.155683733218955
2016,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,2858359,0
2016,"Violencia familiar",3078,2858359,1.07684164235493
2017,"Aborto",11,2858359,0.00384836194473822
2017,"Abuso de confianza",959,2858359,0.335507191363996
2017,"Abuso sexual",442,2858359,0.154634179961299
2017,"Acoso sexual",7,2858359,0.00244895760119705
2017,"Allanamiento de morada",309,2858359,0.108103985538556
2017,"Amenazas",3452,2858359,1.20768594847603
2017,"Contra el medio ambiente",0,2858359,0
2017,"Corrupción de menores",23,2858359,0.00804657497536174
2017,"Daño a la propiedad",3391,2858359,1.18634503223703
2017,"Delitos cometidos por servidores públicos",251,2858359,0.0878126225572085
2017,"Despojo",1099,2858359,0.384486343387937
2017,"Electorales",0,2858359,0
2017,"Evasión de presos",3,2858359,0.00104955325765588
2017,"Extorsión",133,2858359,0.046530194422744
2017,"Falsedad",133,2858359,0.046530194422744
2017,"Falsificación",293,2858359,0.102506368164391
2017,"Feminicidio",22,2858359,0.00769672388947644
2017,"Fraude",1766,2858359,0.617837017673427
2017,"Homicidio",700,2858359,0.244895760119705
2017,"Hostigamiento sexual",20,2858359,0.00699702171770586
2017,"Incesto",19,2858359,0.00664717063182057
2017,"Incumplimiento de obligaciones de asistencia familiar",886,2858359,0.30996806209437
2017,"Lesiones",6184,2858359,2.16347911511465
2017,"Narcomenudeo",256,2858359,0.089561877986635
2017,"Otros delitos contra el patrimonio",49,2858359,0.0171427032083794
2017,"Otros delitos contra la familia",1,2858359,0.000349851085885293
2017,"Otros delitos contra la sociedad",2,2858359,0.000699702171770586
2017,"Otros delitos del Fuero Común",2150,2858359,0.75217983465338
2017,"Otros delitos que atentan contra la libertad personal",1793,2858359,0.62728299699233
2017,"Otros delitos que atentan contra la libertad y la seguridad sexual",46,2858359,0.0160931499507235
2017,"Otros delitos que atentan contra la vida y la integridad corporal",159,2858359,0.0556263226557616
2017,"Rapto",3,2858359,0.00104955325765588
2017,"Robo",14400,2858359,5.03785563674822
2017,"Secuestro",21,2858359,0.00734687280359115
2017,"Tráfico de menores",0,2858359,0
2017,"Trata de personas",3,2858359,0.00104955325765588
2017,"Violación equiparada",0,2858359,0
2017,"Violación simple",560,2858359,0.195916608095764
2017,"Violencia de género en todas sus modalidades distinta a la violencia familiar",0,2858359,0
2017,"Violencia familiar",4417,2858359,1.54529224635534
2018,"Aborto",18,2858359,0.00629731954593527
2018,"Abuso de confianza",1244,2858359,0.435214750841304
2018,"Abuso sexual",514,2858359,0.179823458145041
2018,"Acoso sexual",13,2858359,0.00454806411650881
2018,"Allanamiento de morada",337,2858359,0.117899815943344
2018,"Amenazas",4087,2858359,1.42984138801319
2018,"Contra el medio ambiente",5,2858359,0.00174925542942646
2018,"Corrupción de menores",36,2858359,0.0125946390918705
2018,"Daño a la propiedad",3744,2858359,1.30984246555454
2018,"Delitos cometidos por servidores públicos",466,2858359,0.163030606022547
2018,"Despojo",1175,2858359,0.411075025915219
2018,"Electorales",39,2858359,0.0136441923495264
2018,"Evasión de presos",2,2858359,0.000699702171770586
2018,"Extorsión",142,2858359,0.0496788541957116
2018,"Falsedad",141,2858359,0.0493290031098263
2018,"Falsificación",307,2858359,0.107404283366785
2018,"Feminicidio",20,2858359,0.00699702171770586
2018,"Fraude",1886,2858359,0.659819147979662
2018,"Homicidio",733,2858359,0.25644084595392
2018,"Hostigamiento sexual",41,2858359,0.014343894521297
2018,"Incesto",0,2858359,0
2018,"Incumplimiento de obligaciones de asistencia familiar",884,2858359,0.309268359922599
2018,"Lesiones",7138,2858359,2.49723705104922
2018,"Narcomenudeo",270,2858359,0.0944597931890291
2018,"Otros delitos contra el patrimonio",189,2858359,0.0661218552323204
2018,"Otros delitos contra la familia",3,2858359,0.00104955325765588
2018,"Otros delitos contra la sociedad",29,2858359,0.0101456814906735
2018,"Otros delitos del Fuero Común",5115,2858359,1.78948830430327
2018,"Otros delitos que atentan contra la libertad personal",1941,2858359,0.679060957703354
2018,"Otros delitos que atentan contra la libertad y la seguridad sexual",86,2858359,0.0300871933861352
2018,"Otros delitos que atentan contra la vida y la integridad corporal",243,2858359,0.0850138138701262
2018,"Rapto",3,2858359,0.00104955325765588
