"Año","Municipio","Tipo de delito","Suma de total","cada 1000"
2015,"Acatlán","Aborto",0,0
2015,"Acatlán","Abuso de confianza",1,0.044907490569427
2015,"Acatlán","Abuso sexual",2,0.089814981138854
2015,"Acatlán","Acoso sexual",1,0.044907490569427
2015,"Acatlán","Allanamiento de morada",0,0
2015,"Acatlán","Amenazas",11,0.493982396263697
2015,"Acatlán","Contra el medio ambiente",0,0
2015,"Acatlán","Corrupción de menores",0,0
2015,"Acatlán","Daño a la propiedad",5,0.224537452847135
2015,"Acatlán","Delitos cometidos por servidores públicos",0,0
2015,"Acatlán","Despojo",2,0.089814981138854
2015,"Acatlán","Electorales",0,0
2015,"Acatlán","Evasión de presos",0,0
2015,"Acatlán","Extorsión",0,0
2015,"Acatlán","Falsedad",0,0
2015,"Acatlán","Falsificación",0,0
2015,"Acatlán","Feminicidio",0,0
2015,"Acatlán","Fraude",0,0
2015,"Acatlán","Homicidio",3,0.134722471708281
2015,"Acatlán","Hostigamiento sexual",1,0.044907490569427
2015,"Acatlán","Incesto",0,0
2015,"Acatlán","Incumplimiento de obligaciones de asistencia familiar",7,0.314352433985989
2015,"Acatlán","Lesiones",8,0.359259924555416
2015,"Acatlán","Narcomenudeo",0,0
2015,"Acatlán","Otros delitos contra el patrimonio",0,0
2015,"Acatlán","Otros delitos contra la familia",0,0
2015,"Acatlán","Otros delitos contra la sociedad",0,0
2015,"Acatlán","Otros delitos del Fuero Común",5,0.224537452847135
2015,"Acatlán","Otros delitos que atentan contra la libertad personal",2,0.089814981138854
2015,"Acatlán","Otros delitos que atentan contra la libertad y la seguridad sexual",0,0
2015,"Acatlán","Otros delitos que atentan contra la vida y la integridad corporal",0,0
2015,"Acatlán","Rapto",0,0
2015,"Acatlán","Robo",4,0.179629962277708
2015,"Acatlán","Secuestro",0,0
2015,"Acatlán","Tráfico de menores",0,0
2015,"Acatlán","Trata de personas",0,0
2015,"Acatlán","Violación equiparada",0,0
2015,"Acatlán","Violación simple",4,0.179629962277708
2015,"Acatlán","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
2015,"Acatlán","Violencia familiar",7,0.314352433985989
2015,"Acaxochitlán","Aborto",0,0
2015,"Acaxochitlán","Abuso de confianza",1,0.0217084554433952
2015,"Acaxochitlán","Abuso sexual",0,0
2015,"Acaxochitlán","Acoso sexual",2,0.0434169108867904
2015,"Acaxochitlán","Allanamiento de morada",0,0
2015,"Acaxochitlán","Amenazas",14,0.303918376207533
2015,"Acaxochitlán","Contra el medio ambiente",0,0
2015,"Acaxochitlán","Corrupción de menores",0,0
2015,"Acaxochitlán","Daño a la propiedad",3,0.0651253663301856
2015,"Acaxochitlán","Delitos cometidos por servidores públicos",0,0
2015,"Acaxochitlán","Despojo",1,0.0217084554433952
2015,"Acaxochitlán","Electorales",0,0
2015,"Acaxochitlán","Evasión de presos",0,0
2015,"Acaxochitlán","Extorsión",0,0
2015,"Acaxochitlán","Falsedad",0,0
2015,"Acaxochitlán","Falsificación",0,0
2015,"Acaxochitlán","Feminicidio",0,0
2015,"Acaxochitlán","Fraude",0,0
2015,"Acaxochitlán","Homicidio",8,0.173667643547162
2015,"Acaxochitlán","Hostigamiento sexual",0,0
2015,"Acaxochitlán","Incesto",0,0
2015,"Acaxochitlán","Incumplimiento de obligaciones de asistencia familiar",6,0.130250732660371
2015,"Acaxochitlán","Lesiones",19,0.412460653424509
2015,"Acaxochitlán","Narcomenudeo",0,0
2015,"Acaxochitlán","Otros delitos contra el patrimonio",0,0
2015,"Acaxochitlán","Otros delitos contra la familia",0,0
2015,"Acaxochitlán","Otros delitos contra la sociedad",0,0
2015,"Acaxochitlán","Otros delitos del Fuero Común",4,0.0868338217735808
2015,"Acaxochitlán","Otros delitos que atentan contra la libertad personal",4,0.0868338217735808
2015,"Acaxochitlán","Otros delitos que atentan contra la libertad y la seguridad sexual",2,0.0434169108867904
2015,"Acaxochitlán","Otros delitos que atentan contra la vida y la integridad corporal",1,0.0217084554433952
2015,"Acaxochitlán","Rapto",0,0
2015,"Acaxochitlán","Robo",48,1.04200586128297
2015,"Acaxochitlán","Secuestro",0,0
2015,"Acaxochitlán","Tráfico de menores",0,0
2015,"Acaxochitlán","Trata de personas",0,0
2015,"Acaxochitlán","Violación equiparada",0,0
2015,"Acaxochitlán","Violación simple",6,0.130250732660371
2015,"Acaxochitlán","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
2015,"Acaxochitlán","Violencia familiar",9,0.195376098990557
2015,"Actopan","Aborto",1,0.0163929051506508
2015,"Actopan","Abuso de confianza",25,0.40982262876627
2015,"Actopan","Abuso sexual",8,0.131143241205206
2015,"Actopan","Acoso sexual",6,0.0983574309039048
2015,"Actopan","Allanamiento de morada",1,0.0163929051506508
2015,"Actopan","Amenazas",70,1.14750336054556
2015,"Actopan","Contra el medio ambiente",0,0
2015,"Actopan","Corrupción de menores",1,0.0163929051506508
2015,"Actopan","Daño a la propiedad",66,1.08193173994295
2015,"Actopan","Delitos cometidos por servidores públicos",0,0
2015,"Actopan","Despojo",20,0.327858103013016
2015,"Actopan","Electorales",0,0
2015,"Actopan","Evasión de presos",0,0
2015,"Actopan","Extorsión",1,0.0163929051506508
2015,"Actopan","Falsedad",2,0.0327858103013016
2015,"Actopan","Falsificación",1,0.0163929051506508
2015,"Actopan","Feminicidio",0,0
2015,"Actopan","Fraude",35,0.573751680272778
2015,"Actopan","Homicidio",15,0.245893577259762
2015,"Actopan","Hostigamiento sexual",0,0
2015,"Actopan","Incesto",0,0
2015,"Actopan","Incumplimiento de obligaciones de asistencia familiar",12,0.19671486180781
2015,"Actopan","Lesiones",171,2.80318678076129
2015,"Actopan","Narcomenudeo",2,0.0327858103013016
2015,"Actopan","Otros delitos contra el patrimonio",0,0
2015,"Actopan","Otros delitos contra la familia",0,0
2015,"Actopan","Otros delitos contra la sociedad",0,0
2015,"Actopan","Otros delitos del Fuero Común",47,0.770466542080588
2015,"Actopan","Otros delitos que atentan contra la libertad personal",10,0.163929051506508
2015,"Actopan","Otros delitos que atentan contra la libertad y la seguridad sexual",2,0.0327858103013016
2015,"Actopan","Otros delitos que atentan contra la vida y la integridad corporal",4,0.0655716206026032
2015,"Actopan","Rapto",0,0
2015,"Actopan","Robo",245,4.01626176190945
2015,"Actopan","Secuestro",0,0
2015,"Actopan","Tráfico de menores",0,0
2015,"Actopan","Trata de personas",0,0
2015,"Actopan","Violación equiparada",0,0
2015,"Actopan","Violación simple",13,0.21310776695846
2015,"Actopan","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
2015,"Actopan","Violencia familiar",30,0.491787154519524
2015,"Agua Blanca de Iturbide","Aborto",0,0
2015,"Agua Blanca de Iturbide","Abuso de confianza",0,0
2015,"Agua Blanca de Iturbide","Abuso sexual",0,0
2015,"Agua Blanca de Iturbide","Acoso sexual",0,0
2015,"Agua Blanca de Iturbide","Allanamiento de morada",0,0
2015,"Agua Blanca de Iturbide","Amenazas",0,0
2015,"Agua Blanca de Iturbide","Contra el medio ambiente",0,0
2015,"Agua Blanca de Iturbide","Corrupción de menores",0,0
2015,"Agua Blanca de Iturbide","Daño a la propiedad",0,0
2015,"Agua Blanca de Iturbide","Delitos cometidos por servidores públicos",0,0
2015,"Agua Blanca de Iturbide","Despojo",0,0
2015,"Agua Blanca de Iturbide","Electorales",0,0
2015,"Agua Blanca de Iturbide","Evasión de presos",0,0
2015,"Agua Blanca de Iturbide","Extorsión",0,0
2015,"Agua Blanca de Iturbide","Falsedad",0,0
2015,"Agua Blanca de Iturbide","Falsificación",0,0
2015,"Agua Blanca de Iturbide","Feminicidio",0,0
2015,"Agua Blanca de Iturbide","Fraude",1,0.0969649956365752
2015,"Agua Blanca de Iturbide","Homicidio",1,0.0969649956365752
2015,"Agua Blanca de Iturbide","Hostigamiento sexual",0,0
2015,"Agua Blanca de Iturbide","Incesto",0,0
2015,"Agua Blanca de Iturbide","Incumplimiento de obligaciones de asistencia familiar",0,0
2015,"Agua Blanca de Iturbide","Lesiones",0,0
2015,"Agua Blanca de Iturbide","Narcomenudeo",0,0
2015,"Agua Blanca de Iturbide","Otros delitos contra el patrimonio",0,0
2015,"Agua Blanca de Iturbide","Otros delitos contra la familia",0,0
2015,"Agua Blanca de Iturbide","Otros delitos contra la sociedad",0,0
2015,"Agua Blanca de Iturbide","Otros delitos del Fuero Común",1,0.0969649956365752
2015,"Agua Blanca de Iturbide","Otros delitos que atentan contra la libertad personal",0,0
2015,"Agua Blanca de Iturbide","Otros delitos que atentan contra la libertad y la seguridad sexual",0,0
2015,"Agua Blanca de Iturbide","Otros delitos que atentan contra la vida y la integridad corporal",0,0
2015,"Agua Blanca de Iturbide","Rapto",0,0
2015,"Agua Blanca de Iturbide","Robo",2,0.19392999127315
2015,"Agua Blanca de Iturbide","Secuestro",0,0
2015,"Agua Blanca de Iturbide","Tráfico de menores",0,0
2015,"Agua Blanca de Iturbide","Trata de personas",0,0
2015,"Agua Blanca de Iturbide","Violación equiparada",0,0
2015,"Agua Blanca de Iturbide","Violación simple",0,0
2015,"Agua Blanca de Iturbide","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
2015,"Agua Blanca de Iturbide","Violencia familiar",0,0
2015,"Ajacuba","Aborto",0,0
2015,"Ajacuba","Abuso de confianza",1,0.052988554472234
2015,"Ajacuba","Abuso sexual",1,0.052988554472234
2015,"Ajacuba","Acoso sexual",0,0
2015,"Ajacuba","Allanamiento de morada",1,0.052988554472234
2015,"Ajacuba","Amenazas",5,0.26494277236117
2015,"Ajacuba","Contra el medio ambiente",0,0
2015,"Ajacuba","Corrupción de menores",0,0
2015,"Ajacuba","Daño a la propiedad",8,0.423908435777872
2015,"Ajacuba","Delitos cometidos por servidores públicos",0,0
2015,"Ajacuba","Despojo",13,0.688851208139042
2015,"Ajacuba","Electorales",0,0
2015,"Ajacuba","Evasión de presos",0,0
2015,"Ajacuba","Extorsión",0,0
2015,"Ajacuba","Falsedad",0,0
2015,"Ajacuba","Falsificación",0,0
2015,"Ajacuba","Feminicidio",0,0
2015,"Ajacuba","Fraude",1,0.052988554472234
2015,"Ajacuba","Homicidio",0,0
2015,"Ajacuba","Hostigamiento sexual",0,0
2015,"Ajacuba","Incesto",0,0
2015,"Ajacuba","Incumplimiento de obligaciones de asistencia familiar",3,0.158965663416702
2015,"Ajacuba","Lesiones",13,0.688851208139042
2015,"Ajacuba","Narcomenudeo",0,0
2015,"Ajacuba","Otros delitos contra el patrimonio",0,0
2015,"Ajacuba","Otros delitos contra la familia",0,0
2015,"Ajacuba","Otros delitos contra la sociedad",0,0
2015,"Ajacuba","Otros delitos del Fuero Común",4,0.211954217888936
2015,"Ajacuba","Otros delitos que atentan contra la libertad personal",1,0.052988554472234
2015,"Ajacuba","Otros delitos que atentan contra la libertad y la seguridad sexual",0,0
2015,"Ajacuba","Otros delitos que atentan contra la vida y la integridad corporal",0,0
2015,"Ajacuba","Rapto",0,0
2015,"Ajacuba","Robo",19,1.00678253497245
2015,"Ajacuba","Secuestro",0,0
2015,"Ajacuba","Tráfico de menores",0,0
2015,"Ajacuba","Trata de personas",0,0
2015,"Ajacuba","Violación equiparada",0,0
2015,"Ajacuba","Violación simple",0,0
2015,"Ajacuba","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
2015,"Ajacuba","Violencia familiar",5,0.26494277236117
2015,"Alfajayucan","Aborto",1,0.0521866193507985
2015,"Alfajayucan","Abuso de confianza",1,0.0521866193507985
2015,"Alfajayucan","Abuso sexual",0,0
2015,"Alfajayucan","Acoso sexual",1,0.0521866193507985
2015,"Alfajayucan","Allanamiento de morada",0,0
2015,"Alfajayucan","Amenazas",3,0.156559858052395
2015,"Alfajayucan","Contra el medio ambiente",0,0
2015,"Alfajayucan","Corrupción de menores",0,0
2015,"Alfajayucan","Daño a la propiedad",4,0.208746477403194
2015,"Alfajayucan","Delitos cometidos por servidores públicos",0,0
2015,"Alfajayucan","Despojo",5,0.260933096753992
2015,"Alfajayucan","Electorales",0,0
2015,"Alfajayucan","Evasión de presos",0,0
2015,"Alfajayucan","Extorsión",0,0
2015,"Alfajayucan","Falsedad",0,0
2015,"Alfajayucan","Falsificación",1,0.0521866193507985
2015,"Alfajayucan","Feminicidio",0,0
2015,"Alfajayucan","Fraude",3,0.156559858052395
2015,"Alfajayucan","Homicidio",6,0.313119716104791
2015,"Alfajayucan","Hostigamiento sexual",0,0
2015,"Alfajayucan","Incesto",0,0
2015,"Alfajayucan","Incumplimiento de obligaciones de asistencia familiar",2,0.104373238701597
2015,"Alfajayucan","Lesiones",7,0.365306335455589
2015,"Alfajayucan","Narcomenudeo",0,0
2015,"Alfajayucan","Otros delitos contra el patrimonio",0,0
2015,"Alfajayucan","Otros delitos contra la familia",0,0
2015,"Alfajayucan","Otros delitos contra la sociedad",0,0
2015,"Alfajayucan","Otros delitos del Fuero Común",8,0.417492954806388
2015,"Alfajayucan","Otros delitos que atentan contra la libertad personal",4,0.208746477403194
2015,"Alfajayucan","Otros delitos que atentan contra la libertad y la seguridad sexual",1,0.0521866193507985
2015,"Alfajayucan","Otros delitos que atentan contra la vida y la integridad corporal",0,0
2015,"Alfajayucan","Rapto",0,0
2015,"Alfajayucan","Robo",14,0.730612670911178
2015,"Alfajayucan","Secuestro",0,0
2015,"Alfajayucan","Tráfico de menores",0,0
2015,"Alfajayucan","Trata de personas",0,0
2015,"Alfajayucan","Violación equiparada",0,0
2015,"Alfajayucan","Violación simple",3,0.156559858052395
2015,"Alfajayucan","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
2015,"Alfajayucan","Violencia familiar",2,0.104373238701597
2015,"Almoloya","Aborto",0,0
2015,"Almoloya","Abuso de confianza",0,0
2015,"Almoloya","Abuso sexual",0,0
2015,"Almoloya","Acoso sexual",0,0
2015,"Almoloya","Allanamiento de morada",0,0
2015,"Almoloya","Amenazas",3,0.239120038259206
2015,"Almoloya","Contra el medio ambiente",0,0
2015,"Almoloya","Corrupción de menores",0,0
2015,"Almoloya","Daño a la propiedad",2,0.159413358839471
2015,"Almoloya","Delitos cometidos por servidores públicos",0,0
2015,"Almoloya","Despojo",2,0.159413358839471
2015,"Almoloya","Electorales",0,0
2015,"Almoloya","Evasión de presos",0,0
2015,"Almoloya","Extorsión",0,0
2015,"Almoloya","Falsedad",0,0
2015,"Almoloya","Falsificación",0,0
2015,"Almoloya","Feminicidio",0,0
2015,"Almoloya","Fraude",0,0
2015,"Almoloya","Homicidio",0,0
2015,"Almoloya","Hostigamiento sexual",0,0
2015,"Almoloya","Incesto",0,0
2015,"Almoloya","Incumplimiento de obligaciones de asistencia familiar",2,0.159413358839471
2015,"Almoloya","Lesiones",18,1.43472022955524
2015,"Almoloya","Narcomenudeo",0,0
2015,"Almoloya","Otros delitos contra el patrimonio",0,0
2015,"Almoloya","Otros delitos contra la familia",0,0
2015,"Almoloya","Otros delitos contra la sociedad",0,0
2015,"Almoloya","Otros delitos del Fuero Común",8,0.637653435357883
2015,"Almoloya","Otros delitos que atentan contra la libertad personal",0,0
2015,"Almoloya","Otros delitos que atentan contra la libertad y la seguridad sexual",1,0.0797066794197354
2015,"Almoloya","Otros delitos que atentan contra la vida y la integridad corporal",0,0
2015,"Almoloya","Rapto",0,0
2015,"Almoloya","Robo",13,1.03618683245656
2015,"Almoloya","Secuestro",0,0
2015,"Almoloya","Tráfico de menores",0,0
2015,"Almoloya","Trata de personas",0,0
2015,"Almoloya","Violación equiparada",0,0
2015,"Almoloya","Violación simple",1,0.0797066794197354
2015,"Almoloya","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0
2015,"Almoloya","Violencia familiar",2,0.159413358839471
2015,"Apan","Aborto",0,0
2015,"Apan","Abuso de confianza",20,0.428439836335983
2015,"Apan","Abuso sexual",1,0.0214219918167991
2015,"Apan","Acoso sexual",3,0.0642659754503974
2015,"Apan","Allanamiento de morada",5,0.107109959083996
2015,"Apan","Amenazas",41,0.878301664488764
2015,"Apan","Contra el medio ambiente",0,0
2015,"Apan","Corrupción de menores",2,0.0428439836335983
2015,"Apan","Daño a la propiedad",31,0.664081746320773
2015,"Apan","Delitos cometidos por servidores públicos",0,0
2015,"Apan","Despojo",18,0.385595852702384
2015,"Apan","Electorales",0,0
2015,"Apan","Evasión de presos",0,0
2015,"Apan","Extorsión",3,0.0642659754503974
2015,"Apan","Falsedad",5,0.107109959083996
2015,"Apan","Falsificación",0,0
2015,"Apan","Feminicidio",0,0
