"año","Tipo de delito","Mes","Conteo"
2015,"Aborto","Enero",0
2015,"Aborto","Febrero",1
2015,"Aborto","Marzo",2
2015,"Aborto","Abril",4
2015,"Aborto","Mayo",2
2015,"Aborto","Junio",1
2015,"Aborto","Julio",2
2015,"Aborto","Agosto",7
2015,"Aborto","Septiembre",2
2015,"Aborto","Octubre",2
2015,"Aborto","Noviembre",0
2015,"Aborto","Diciembre",1
2015,"Abuso de confianza","Enero",56
2015,"Abuso de confianza","Febrero",68
2015,"Abuso de confianza","Marzo",35
2015,"Abuso de confianza","Abril",21
2015,"Abuso de confianza","Mayo",48
2015,"Abuso de confianza","Junio",32
2015,"Abuso de confianza","Julio",34
2015,"Abuso de confianza","Agosto",57
2015,"Abuso de confianza","Septiembre",42
2015,"Abuso de confianza","Octubre",43
2015,"Abuso de confianza","Noviembre",53
2015,"Abuso de confianza","Diciembre",46
2015,"Abuso sexual","Enero",0
2015,"Abuso sexual","Febrero",0
2015,"Abuso sexual","Marzo",0
2015,"Abuso sexual","Abril",0
2015,"Abuso sexual","Mayo",15
2015,"Abuso sexual","Junio",18
2015,"Abuso sexual","Julio",26
2015,"Abuso sexual","Agosto",26
2015,"Abuso sexual","Septiembre",17
2015,"Abuso sexual","Octubre",19
2015,"Abuso sexual","Noviembre",11
2015,"Abuso sexual","Diciembre",26
2015,"Acoso sexual","Enero",14
2015,"Acoso sexual","Febrero",32
2015,"Acoso sexual","Marzo",9
2015,"Acoso sexual","Abril",13
2015,"Acoso sexual","Mayo",13
2015,"Acoso sexual","Junio",6
2015,"Acoso sexual","Julio",1
2015,"Acoso sexual","Agosto",5
2015,"Acoso sexual","Septiembre",3
2015,"Acoso sexual","Octubre",3
2015,"Acoso sexual","Noviembre",16
2015,"Acoso sexual","Diciembre",3
2015,"Allanamiento de morada","Enero",24
2015,"Allanamiento de morada","Febrero",12
2015,"Allanamiento de morada","Marzo",15
2015,"Allanamiento de morada","Abril",10
2015,"Allanamiento de morada","Mayo",18
2015,"Allanamiento de morada","Junio",12
2015,"Allanamiento de morada","Julio",6
2015,"Allanamiento de morada","Agosto",11
2015,"Allanamiento de morada","Septiembre",10
2015,"Allanamiento de morada","Octubre",9
2015,"Allanamiento de morada","Noviembre",143
2015,"Allanamiento de morada","Diciembre",25
2015,"Amenazas","Enero",146
2015,"Amenazas","Febrero",193
2015,"Amenazas","Marzo",124
2015,"Amenazas","Abril",193
2015,"Amenazas","Mayo",213
2015,"Amenazas","Junio",128
2015,"Amenazas","Julio",153
2015,"Amenazas","Agosto",152
2015,"Amenazas","Septiembre",179
2015,"Amenazas","Octubre",80
2015,"Amenazas","Noviembre",193
2015,"Amenazas","Diciembre",174
2015,"Contra el medio ambiente","Enero",0
2015,"Contra el medio ambiente","Febrero",0
2015,"Contra el medio ambiente","Marzo",0
2015,"Contra el medio ambiente","Abril",5
2015,"Contra el medio ambiente","Mayo",0
2015,"Contra el medio ambiente","Junio",0
2015,"Contra el medio ambiente","Julio",0
2015,"Contra el medio ambiente","Agosto",0
2015,"Contra el medio ambiente","Septiembre",0
2015,"Contra el medio ambiente","Octubre",0
2015,"Contra el medio ambiente","Noviembre",0
2015,"Contra el medio ambiente","Diciembre",0
2015,"Corrupción de menores","Enero",0
2015,"Corrupción de menores","Febrero",4
2015,"Corrupción de menores","Marzo",2
2015,"Corrupción de menores","Abril",0
2015,"Corrupción de menores","Mayo",1
2015,"Corrupción de menores","Junio",2
2015,"Corrupción de menores","Julio",2
2015,"Corrupción de menores","Agosto",1
2015,"Corrupción de menores","Septiembre",5
2015,"Corrupción de menores","Octubre",0
2015,"Corrupción de menores","Noviembre",2
2015,"Corrupción de menores","Diciembre",0
2015,"Daño a la propiedad","Enero",138
2015,"Daño a la propiedad","Febrero",171
2015,"Daño a la propiedad","Marzo",137
2015,"Daño a la propiedad","Abril",151
2015,"Daño a la propiedad","Mayo",184
2015,"Daño a la propiedad","Junio",99
2015,"Daño a la propiedad","Julio",109
2015,"Daño a la propiedad","Agosto",157
2015,"Daño a la propiedad","Septiembre",186
2015,"Daño a la propiedad","Octubre",94
2015,"Daño a la propiedad","Noviembre",157
2015,"Daño a la propiedad","Diciembre",199
2015,"Delitos cometidos por servidores públicos","Enero",0
2015,"Delitos cometidos por servidores públicos","Febrero",0
2015,"Delitos cometidos por servidores públicos","Marzo",0
2015,"Delitos cometidos por servidores públicos","Abril",0
2015,"Delitos cometidos por servidores públicos","Mayo",2
2015,"Delitos cometidos por servidores públicos","Junio",0
2015,"Delitos cometidos por servidores públicos","Julio",0
2015,"Delitos cometidos por servidores públicos","Agosto",0
2015,"Delitos cometidos por servidores públicos","Septiembre",0
2015,"Delitos cometidos por servidores públicos","Octubre",0
2015,"Delitos cometidos por servidores públicos","Noviembre",0
2015,"Delitos cometidos por servidores públicos","Diciembre",0
2015,"Despojo","Enero",60
2015,"Despojo","Febrero",72
2015,"Despojo","Marzo",44
2015,"Despojo","Abril",58
2015,"Despojo","Mayo",72
2015,"Despojo","Junio",57
2015,"Despojo","Julio",20
2015,"Despojo","Agosto",68
2015,"Despojo","Septiembre",55
2015,"Despojo","Octubre",55
2015,"Despojo","Noviembre",23
2015,"Despojo","Diciembre",56
2015,"Electorales","Enero",0
2015,"Electorales","Febrero",0
2015,"Electorales","Marzo",0
2015,"Electorales","Abril",0
2015,"Electorales","Mayo",0
2015,"Electorales","Junio",0
2015,"Electorales","Julio",0
2015,"Electorales","Agosto",0
2015,"Electorales","Septiembre",0
2015,"Electorales","Octubre",0
2015,"Electorales","Noviembre",0
2015,"Electorales","Diciembre",0
2015,"Evasión de presos","Enero",0
2015,"Evasión de presos","Febrero",0
2015,"Evasión de presos","Marzo",0
2015,"Evasión de presos","Abril",0
2015,"Evasión de presos","Mayo",0
2015,"Evasión de presos","Junio",0
2015,"Evasión de presos","Julio",0
2015,"Evasión de presos","Agosto",0
2015,"Evasión de presos","Septiembre",0
2015,"Evasión de presos","Octubre",0
2015,"Evasión de presos","Noviembre",0
2015,"Evasión de presos","Diciembre",0
2015,"Extorsión","Enero",4
2015,"Extorsión","Febrero",6
2015,"Extorsión","Marzo",2
2015,"Extorsión","Abril",3
2015,"Extorsión","Mayo",2
2015,"Extorsión","Junio",2
2015,"Extorsión","Julio",4
2015,"Extorsión","Agosto",3
2015,"Extorsión","Septiembre",1
2015,"Extorsión","Octubre",3
2015,"Extorsión","Noviembre",6
2015,"Extorsión","Diciembre",6
2015,"Falsedad","Enero",2
2015,"Falsedad","Febrero",5
2015,"Falsedad","Marzo",0
2015,"Falsedad","Abril",8
2015,"Falsedad","Mayo",7
2015,"Falsedad","Junio",6
2015,"Falsedad","Julio",3
2015,"Falsedad","Agosto",2
2015,"Falsedad","Septiembre",5
2015,"Falsedad","Octubre",15
2015,"Falsedad","Noviembre",15
2015,"Falsedad","Diciembre",7
2015,"Falsificación","Enero",1
2015,"Falsificación","Febrero",11
2015,"Falsificación","Marzo",8
2015,"Falsificación","Abril",1
2015,"Falsificación","Mayo",9
2015,"Falsificación","Junio",5
2015,"Falsificación","Julio",5
2015,"Falsificación","Agosto",16
2015,"Falsificación","Septiembre",15
2015,"Falsificación","Octubre",4
2015,"Falsificación","Noviembre",5
2015,"Falsificación","Diciembre",18
2015,"Feminicidio","Enero",0
2015,"Feminicidio","Febrero",0
2015,"Feminicidio","Marzo",0
2015,"Feminicidio","Abril",0
2015,"Feminicidio","Mayo",0
2015,"Feminicidio","Junio",0
2015,"Feminicidio","Julio",0
2015,"Feminicidio","Agosto",0
2015,"Feminicidio","Septiembre",0
2015,"Feminicidio","Octubre",0
2015,"Feminicidio","Noviembre",0
2015,"Feminicidio","Diciembre",0
2015,"Fraude","Enero",61
2015,"Fraude","Febrero",143
2015,"Fraude","Marzo",43
2015,"Fraude","Abril",49
2015,"Fraude","Mayo",72
2015,"Fraude","Junio",73
2015,"Fraude","Julio",60
2015,"Fraude","Agosto",94
2015,"Fraude","Septiembre",72
2015,"Fraude","Octubre",76
2015,"Fraude","Noviembre",88
2015,"Fraude","Diciembre",67
2015,"Homicidio","Enero",50
2015,"Homicidio","Febrero",55
2015,"Homicidio","Marzo",47
2015,"Homicidio","Abril",43
2015,"Homicidio","Mayo",49
2015,"Homicidio","Junio",38
2015,"Homicidio","Julio",45
2015,"Homicidio","Agosto",69
2015,"Homicidio","Septiembre",87
2015,"Homicidio","Octubre",62
2015,"Homicidio","Noviembre",58
2015,"Homicidio","Diciembre",48
2015,"Hostigamiento sexual","Enero",0
2015,"Hostigamiento sexual","Febrero",4
2015,"Hostigamiento sexual","Marzo",1
2015,"Hostigamiento sexual","Abril",1
2015,"Hostigamiento sexual","Mayo",0
2015,"Hostigamiento sexual","Junio",0
2015,"Hostigamiento sexual","Julio",0
2015,"Hostigamiento sexual","Agosto",0
2015,"Hostigamiento sexual","Septiembre",0
2015,"Hostigamiento sexual","Octubre",0
2015,"Hostigamiento sexual","Noviembre",0
2015,"Hostigamiento sexual","Diciembre",0
2015,"Incesto","Enero",0
2015,"Incesto","Febrero",0
2015,"Incesto","Marzo",0
2015,"Incesto","Abril",0
2015,"Incesto","Mayo",0
2015,"Incesto","Junio",0
2015,"Incesto","Julio",0
2015,"Incesto","Agosto",1
2015,"Incesto","Septiembre",0
2015,"Incesto","Octubre",0
2015,"Incesto","Noviembre",0
2015,"Incesto","Diciembre",0
2015,"Incumplimiento de obligaciones de asistencia familiar","Enero",63
2015,"Incumplimiento de obligaciones de asistencia familiar","Febrero",84
2015,"Incumplimiento de obligaciones de asistencia familiar","Marzo",39
2015,"Incumplimiento de obligaciones de asistencia familiar","Abril",59
2015,"Incumplimiento de obligaciones de asistencia familiar","Mayo",71
2015,"Incumplimiento de obligaciones de asistencia familiar","Junio",31
2015,"Incumplimiento de obligaciones de asistencia familiar","Julio",46
2015,"Incumplimiento de obligaciones de asistencia familiar","Agosto",38
2015,"Incumplimiento de obligaciones de asistencia familiar","Septiembre",62
2015,"Incumplimiento de obligaciones de asistencia familiar","Octubre",50
2015,"Incumplimiento de obligaciones de asistencia familiar","Noviembre",49
2015,"Incumplimiento de obligaciones de asistencia familiar","Diciembre",41
2015,"Lesiones","Enero",297
2015,"Lesiones","Febrero",430
2015,"Lesiones","Marzo",251
2015,"Lesiones","Abril",319
2015,"Lesiones","Mayo",380
2015,"Lesiones","Junio",247
2015,"Lesiones","Julio",197
2015,"Lesiones","Agosto",282
2015,"Lesiones","Septiembre",365
2015,"Lesiones","Octubre",183
2015,"Lesiones","Noviembre",347
2015,"Lesiones","Diciembre",395
2015,"Narcomenudeo","Enero",15
2015,"Narcomenudeo","Febrero",25
2015,"Narcomenudeo","Marzo",2
2015,"Narcomenudeo","Abril",4
2015,"Narcomenudeo","Mayo",16
2015,"Narcomenudeo","Junio",5
2015,"Narcomenudeo","Julio",4
2015,"Narcomenudeo","Agosto",2
2015,"Narcomenudeo","Septiembre",12
2015,"Narcomenudeo","Octubre",13
2015,"Narcomenudeo","Noviembre",0
2015,"Narcomenudeo","Diciembre",13
2015,"Otros delitos contra el patrimonio","Enero",0
2015,"Otros delitos contra el patrimonio","Febrero",0
2015,"Otros delitos contra el patrimonio","Marzo",0
