"Año","Municipio","Tipo.de.delito","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio","Agosto","Septiembre","Octubre","Noviembre","Diciembre","total","pobtot","tasa"
2015,"Acatlán","Aborto",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Abuso de confianza",0,0,0,0,0,0,0,0,1,0,0,0,1,21044,0.0475194829880251
2015,"Acatlán","Abuso sexual",0,0,0,0,2,0,0,0,0,0,0,0,2,21044,0.0950389659760502
2015,"Acatlán","Acoso sexual",1,0,0,0,0,0,0,0,0,0,0,0,1,21044,0.0475194829880251
2015,"Acatlán","Allanamiento de morada",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Amenazas",3,1,0,0,1,3,0,1,2,0,0,0,11,21044,0.522714312868276
2015,"Acatlán","Contra el medio ambiente",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Corrupción de menores",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Daño a la propiedad",1,0,0,2,1,1,0,0,0,0,0,0,5,21044,0.237597414940125
2015,"Acatlán","Delitos cometidos por servidores públicos",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Despojo",0,0,0,1,1,0,0,0,0,0,0,0,2,21044,0.0950389659760502
2015,"Acatlán","Electorales",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Evasión de presos",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Extorsión",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Falsedad",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Falsificación",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Feminicidio",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Fraude",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Homicidio",0,0,0,0,0,0,0,2,0,0,1,0,3,21044,0.142558448964075
2015,"Acatlán","Hostigamiento sexual",0,1,0,0,0,0,0,0,0,0,0,0,1,21044,0.0475194829880251
2015,"Acatlán","Incesto",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Incumplimiento de obligaciones de asistencia familiar",0,0,0,0,3,0,1,0,1,0,2,0,7,21044,0.332636380916176
2015,"Acatlán","Lesiones",0,2,0,2,3,1,0,0,0,0,0,0,8,21044,0.380155863904201
2015,"Acatlán","Narcomenudeo",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Otros delitos contra el patrimonio",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Otros delitos contra la familia",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Otros delitos contra la sociedad",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Otros delitos del Fuero Común",0,0,0,2,0,1,0,1,0,0,1,0,5,21044,0.237597414940125
2015,"Acatlán","Otros delitos que atentan contra la libertad personal",2,0,0,0,0,0,0,0,0,0,0,0,2,21044,0.0950389659760502
2015,"Acatlán","Otros delitos que atentan contra la libertad y la seguridad sexual",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Otros delitos que atentan contra la vida y la integridad corporal",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Rapto",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Robo",1,0,0,1,0,1,0,0,0,0,0,1,4,21044,0.1900779319521
2015,"Acatlán","Secuestro",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Trata de personas",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Tráfico de menores",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Violación equiparada",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
2015,"Acatlán","Violación simple",0,0,0,0,2,0,1,0,1,0,0,0,4,21044,0.1900779319521
2015,"Acatlán","Violencia de género en todas sus modalidades distinta a la violencia familiar",0,0,0,0,0,0,0,0,0,0,0,0,0,21044,0
